keyword,us_monthly_volume,cpc_usd,raw_kd,provider_keyword_type,generic_kd,comparison_kd,serp_results,business_fit,priority,page,page_type,provider_volume,recommendation
questions to ask your boyfriend,74000,0.06,29.6,generic,,29.6,9,80,优先候选,/questions-to-ask-your-boyfriend,新清单页,3180,按关系阶段、聊天目的分类，提供追问与自然对话示例；分析入口辅助准备沟通。搜索者主要要问题清单，付费分析转化尚未验证。
how to know if someone likes you,12100,0.49,28.2,brand,23.6,23.6,10,90,优先候选,/does-he-like-me-text-analyzer,优先升级现有页,,通用someone词含线下肢体线索、男女双方等需求；现有产品聚焦You/Him，页面需真实回答宽意图再引导聊天分析，避免再建同意图重复页。
conversation starters for couples,6600,0.19,17.3,generic,,17.3,9,80,优先候选,/conversation-starters-for-couples,候选清单页,,围绕伴侣重新建立交流、日常沟通；与boyfriend问题清单先比对SERP与内容重叠再决定是否拆页。
texting styles,3600,1.53,13.7,generic,,13.7,8,95,优先候选,/texting-styles,新说明页,,结合短回复、长消息、发起频率、节奏的实例；不把聊天风格当作固定人格或心理诊断。
dating intentions,1600,3.46,27.4,generic,,27.4,10,85,优先候选,/dating-intentions,新解释页,,明确随意约会、认真关系等期待，提供如何问清楚的消息例子。
what to text your crush,1000,0.05,35,generic,,35,10,90,优先候选,/what-to-text-your-crush,新行动指南,,按首次开聊、继续对话、邀约、无回复等情境给消息模板，避免操控和保证回复。
conversation starters over text,1000,0.04,25.9,generic,,25.9,9,90,优先候选,/conversation-starters-over-text,新清单页,,从陌生到熟悉分场景，提供后续接话；若与what-to-text-your-crush高度重复则合并。
questions to ask your crush,14800,0.07,49.2,generic,,49.2,10,85,第二梯队,/questions-to-ask-your-crush,新清单页,1540,先满足可使用的问题需求，提供顺着回答继续聊的例子；不要简单复制boyfriend清单。
how to keep a conversation going,5400,0.66,36.1,generic,,36.1,10,80,第二梯队,/how-to-keep-a-conversation-going,新方法页,1320,自然追问、分享、话题转接，提供完整对话前后对比；覆盖线下与文字语境，不能全部改成上传工具。
left on read,3600,0.69,31.7,brand,40.4,40.4,8,95,第二梯队,/left-on-read,新问题页,,解释已读未回、时间和情境差异、如何决定下一步；排除书影音、游戏同名意图，不能推断已读未回等于不喜欢。
flirty questions to ask a guy,2900,0.05,40.4,generic,,40.4,9,85,第二梯队,/flirty-questions-to-ask-a-guy,候选清单页,,提供轻松不冒犯的问题、适用关系阶段与后续对话；与crush清单先判断重叠。
flirting examples,1900,0.05,42,generic,,42,9,90,第二梯队,/flirting-examples,新示例页,,用友好vs暧昧的成对例子、上下文解释和反例，贴近聊天分析；避免笼统保证识别意图。
reassurance in a relationship,1900,0.03,39.5,generic,,39.5,8,75,辅助/观察,/reassurance-in-a-relationship,后续内容页,,提供如何表达与提出需求的对话例子；分析器不能替代直接沟通。
what is he thinking,1300,,44.3,brand,42.6,42.6,10,70,辅助/观察,/,辅助表达观察,,SERP混有感情讨论和同名歌曲歌词；不能把用户想知道想法转化成读心承诺。
what does he think of me,880,,36,brand,24.7,24.7,10,70,辅助/观察,/,辅助表达观察,,实际SERP有测试、塔罗和感情讨论混合意图；适合作为用户诉求表达，不能直接认定为分析工具需求。
what he thinks,720,,35.7,brand,32.6,32.6,9,80,辅助/观察,/,品牌兼需求表达,,本轮US/en SERP以感情解读为主，含少量语法页，修正此前带引号搜索偏翻译的判断。值得首页经营，但不应替代产品用途说明。月均720，2026年8月2900，增长原因未核实，不能外推。
