path,keyword,phase,us_monthly_volume,status
/,text message analyzer,1 - upgraded,110,implemented
/does-he-like-me-text-analyzer,how to know if someone likes you,1 - upgraded,12100,implemented
/mixed-signals-text-analyzer,mixed signals,1 - upgraded,3600,implemented
/is-he-losing-interest,signs he is losing interest,1 - upgraded,480,implemented
/situationship-analyzer,situationship analyzer,1 - upgraded,10,implemented
/breadcrumbing-test,breadcrumbing examples,1 - upgraded,720,implemented
/ex-text-analyzer,does my ex want me back,1 - upgraded,110,implemented
/whatsapp-relationship-analyzer,whatsapp chat analyzer,1 - upgraded,40,implemented
/who-texts-first,who texts first,1 - upgraded,30,implemented
/reply-time-calculator,reply time calculator,1 - upgraded,,implemented
/texting-styles,texting styles,1 - new,3600,implemented
/questions-to-ask-your-boyfriend,questions to ask your boyfriend,1 - new,74000,implemented
/dry-texting,dry texting,1 - new,3600,implemented
/conversation-starters-for-couples,conversation starters for couples,1 - new,6600,implemented
/dating-intentions,dating intentions,1 - new,1600,implemented
/situationship-vs-relationship,situationship vs relationship,1 - new,1000,implemented
/conversation-starters-over-text,conversation starters over text,1 - new,1000,implemented
/should-i-text-my-ex,should i text my ex,1 - new,1600,implemented
/questions-to-ask-your-crush,questions to ask your crush,2 - new,14800,implemented
/how-to-keep-a-conversation-going,how to keep a conversation going,2 - new,5400,implemented
/left-on-read,left on read,2 - new,3600,implemented
/flirting-examples,flirting examples,2 - new,1900,implemented
/relationship-check-in-questions,relationship check in questions,2 - new,1300,implemented
/texting-after-first-date,texting after first date,2 - new,590,implemented
/love-bombing-vs-genuine-interest,love bombing vs genuine interest,2 - new,590,implemented
/situationship,situationship,3 - new,74000,implemented
/ghosting,ghosting,3 - new,49500,implemented
/breadcrumbing,breadcrumbing,3 - new,22200,implemented
/talking-stage,talking stage,3 - new,5400,implemented
/love-bombing,love bombing,3 - new,110000,implemented
