page,primary_keyword,us_monthly_volume,cpc_usd,intent,priority,business_fit,seo_kd,structural_kd,secondary_keywords,proposed_title,proposed_description,implementation_note
/,relationship text analyzer,30,,工具,P0,95,未查询,未查询,relationship chat analyzer|text message analyzer|analyze text messages,Relationship Text Analyzer — Understand His Texting Pattern,"Analyze your WhatsApp chat or paste messages to explore effort, reply patterns and mixed signals. Start with a free preview; the full report is $9.99.",保留首页聚焦关系聊天分析；广义 text message analyzer 放辅助段落，不另建同义工具页。
/is-he-losing-interest,is he losing interest,140,0.04,问题＋分析,P0,95,未查询,未查询,signs he is losing interest|is he losing interest or just busy|signs he is pulling away,Is He Losing Interest? Signs in His Texting Pattern,"See whether his texting effort has changed. Review who starts conversations, reply patterns and follow-through, with a free chat analysis preview.",保留主意图；用 signs he is losing interest 做核心 H2（480/月），解释忙碌与持续变化的区别。
/does-he-like-me-text-analyzer,does he like me over text,30,0.03,问题＋分析,P0,95,未查询,未查询,how to tell if a guy likes you over text|signs he likes you over text|is he flirting or being friendly,Does He Like Me Over Text? Check the Conversation,"Explore signs of interest in his texts, including questions, effort and concrete plans. Paste messages or upload a WhatsApp chat for a free preview.",补实质回答与聊天例子；当前 simple 布局省略答案模块，不宜仅靠上传框争信息型词。480/月长尾做 H2，同页覆盖。
/mixed-signals-text-analyzer,mixed signals from a guy,170,0.01,问题＋分析,P0,90,未查询,未查询,mixed signals in a relationship|inconsistent texting|hot and cold texting,Mixed Signals From a Guy? Check His Texting Pattern,"Make sense of mixed signals from a guy. Compare warm messages with consistency, effort and follow-through, then explore your own chat patterns.",替代暂无量的 mixed signals text analyzer 主词；恢复解释、实例和应对建议，分析器作为验证入口。
/situationship-analyzer,am i in a situationship,210,0.11,问题＋分析,P1,85,未查询,未查询,situationship analyzer|signs of a situationship|situationship vs relationship,Am I in a Situationship? Signs to Check in Your Chat,"Explore signs of a situationship, from unclear plans to uneven effort. Use your messages to examine patterns without guessing what someone feels.",210/月问题主词，analyzer 10/月为工具辅助词；添加关系边界与沟通建议，不包装成临床或计分问卷。
/breadcrumbing-test,breadcrumbing test,10,,自查工具,P1,90,未查询,未查询,is he breadcrumbing me|breadcrumbing texts|breadcrumbing examples,Breadcrumbing Test — Check the Pattern in His Texts,"Check for repeated disappear-and-return patterns, vague plans and uneven effort. This chat-based breadcrumbing check uses messages, not a diagnosis.",主词10/月但强匹配；标题明确 chat-based。examples 720/月、texts 140/月、is he breadcrumbing me 50/月先在同页回答，不另建抢词页。
/ex-text-analyzer,does my ex want me back,110,2.43,问题＋分析,P1,85,未查询,未查询,signs your ex wants you back|ex texts after no contact|ex breadcrumbing,Does My Ex Want Me Back? Look Beyond the Text,Review your ex’s messages for consistent effort and concrete plans. Compare renewed contact with old patterns before deciding what to do next.,ex text analyzer 未返回搜索量，降为功能描述；先解释信号和局限，不能承诺知道前任内心或复合成功率。
/whatsapp-relationship-analyzer,whatsapp chat analyzer,40,1.32,平台工具,P0,95,未查询,未查询,whatsapp chat statistics|whatsapp chat analysis|whatsapp conversation analyzer,WhatsApp Chat Analyzer — Stats & Relationship Patterns,"Upload a WhatsApp export to explore who reaches out, reply times and changes in effort. See a free preview before unlocking the full relationship report.",平台页独占 WhatsApp 词；先展示统计预览与样例，清楚区分免费预览与付费完整报告。保留现有 URL。
/who-texts-first,who texts first,30,,工具＋解释,P1,85,未查询,未查询,who texts first calculator|he never texts first|one sided texting,Who Texts First? Free WhatsApp Conversation Calculator,Find out who starts more conversations in your WhatsApp chat. This free calculator runs in your browser and explains how conversation starts are counted.,30/月主词有建议型混合意图，首屏立即提供计算器并解释含义；不主打 who texts more，后者是消息数量。
/reply-time-calculator,reply time calculator,,,工具,P2,95,未查询,未查询,text reply time calculator|whatsapp reply time calculator|average text response time,Reply Time Calculator — Check Your WhatsApp Chat,Calculate typical reply times in your WhatsApp chat. Compare both sides with a free browser-based tool that excludes overnight gaps from the calculation.,主词暂无量但准确，作为工具和内链资产保留；不换成带操作系统/客服意图的 response time calculator（40/月）。
