domain,keyword,position,volume,estimated_organic_traffic,url,snapshot_screening_kd
whatbrandonthinks.com,brandon ai,1,110,23.89836311340332,https://www.whatbrandonthinks.com/,0
whatbrandonthinks.com,brandon say,8,50,0.19319938123226166,https://www.whatbrandonthinks.com/,0
lucen.app,situationship,45,74000,33,https://lucen.app/blog/situationship,17
lucen.app,text message analyzer,2,110,24,https://lucen.app/,8
lucen.app,lucen report,1,210,20,https://lucen.app/relationship-text-analysis,0
lucen.app,situationship meaning,29,40500,16,https://lucen.app/blog/situationship,12
lucen.app,lucen,3,720,13,https://lucen.app/help,0
lucen.app,text message analysis,3,320,11,https://lucen.app/,6
lucen.app,relationship text analyzer,1,20,10,https://lucen.app/,0
lucen.app,instagram chat analyzer,2,40,6.5,https://lucen.app/instagram-dm-analysis,0
lucen.app,lucen app,2,90,5.1,https://lucen.app/,0
lucen.app,whatsapp analyser,4,140,4.8,https://lucen.app/whatsapp-chat-analyzer,10
lucen.app,does she like me ai,3,50,2.8,https://lucen.app/,0
lucen.app,situationship vs relationship,16,1000,2.4,https://lucen.app/blog/situationship-vs-relationship,0
lucen.app,whatsapp analyzer,5,140,2.4,https://lucen.app/whatsapp-chat-analyzer,3
lucen.app,message analyser,18,260,2,https://lucen.app/,32
lucen.app,message analyzer,19,260,2,https://lucen.app/,18
lucen.app,export imessage conversation,19,480,1.9,https://lucen.app/blog/how-to-export-imessage-texts,5
lucen.app,text analyzer relationship,2,40,1.7,https://lucen.app/,0
lucen.app,situationship vs friends with benefits,13,1600,1.6,https://lucen.app/blog/situationship-vs-friends-with-benefits,0
lucen.app,ai text analysis,20,140,1.4,https://lucen.app/,14
lucen.app,chat analyzer,8,170,1.3,https://lucen.app/,11
lucen.app,app that analyzes text messages,2,30,1.3,https://lucen.app/,4
lucen.app,situationships,42,74000,1.2,https://lucen.app/blog/situationship,15
lucen.app,types of situationships,8,260,1,https://lucen.app/blog/situationship,0
lucen.app,ai conversation analysis,4,40,1,https://lucen.app/,4
lucen.app,snapchat decoder,7,140,0.9,https://lucen.app/snapchat-chat-analyzer,0
lucen.app,conversation analyzer,3,50,0.9,https://lucen.app/,0
lucen.app,ai dating coach,13,140,0.9,https://lucen.app/ai-dating-coach,11
lucen.app,analyzer for whatsapp,7,140,0.7,https://lucen.app/whatsapp-chat-analyzer,7
lucen.app,why do men lose interest after sex,7,140,0.7,https://lucen.app/blog/why-do-men-lose-interest-after-sex,0
lucen.app,instagram messages counter,5,40,0.7,https://lucen.app/instagram-dm-analysis,0
lucen.app,love analysis app,6,70,0.6,https://lucen.app/relationship-text-analysis,6
lucen.app,imessage exporter,39,1300,0.6,https://lucen.app/how-to-export-imessage-texts,12
lucen.app,love analysis site,7,50,0.5,https://lucen.app/relationship-text-analysis,0
lucen.app,analyze this text,23,170,0.5,https://lucen.app/,5
lucen.app,how to download imessage conversation,13,210,0.5,https://lucen.app/blog/how-to-export-imessage-texts,0
lucen.app,how to export imessage conversation,30,480,0.5,https://lucen.app/how-to-export-imessage-texts,4
lucen.app,whatsapp chat analyzer,8,40,0.5,https://lucen.app/whatsapp-chat-analyzer,7
lucen.app,imessage analyzer,6,50,0.5,https://lucen.app/imessage-text-analysis,0
lucen.app,imessage-exporter,40,1300,0.5,https://lucen.app/how-to-export-imessage-texts,19
lucen.app,text analyzer app,5,20,0.4,https://lucen.app/,11
lucen.app,ai relationship coach,24,170,0.4,https://lucen.app/ai-dating-coach,0
lucen.app,how to export imessages,10,210,0.4,https://lucen.app/blog/how-to-export-imessage-texts,0
lucen.app,ai analyze text messages,6,40,0.4,https://lucen.app/,13
lucen.app,my crush ai,33,210,0.4,https://lucen.app/,19
lucen.app,how to save an imessage conversation,20,170,0.3,https://lucen.app/blog/how-to-export-imessage-texts,0
lucen.app,chat analysis,6,50,0.3,https://lucen.app/,16
lucen.app,how to save imessage,14,140,0.3,https://lucen.app/blog/how-to-export-imessage-texts,3
lucen.app,love insights ai,11,110,0.3,https://lucen.app/relationship-text-analysis,0
lucen.app,how to export imessage conversation from iphone,23,170,0.3,https://lucen.app/blog/how-to-export-imessage-texts,0
lucen.app,friends with benefits vs situationship,16,260,0.3,https://lucen.app/blog/situationship-vs-friends-with-benefits,0
