keyword,us_monthly_volume,cpc_usd,gefei_raw_score,gefei_type,gefei_generic_score,comparison_kd,priority,business_fit,page,page_type,conversion_target,recent_3m_vs_previous_3m_pct,quality_refdomains_raw_model_mid,type_warning,recommendation
text message analyzer,110,7.95,0,generic,,0,P0,95,/,首页主词,/analyze,44.4,,,量仅110但产品意图强，哥飞盘面有低DR工具站；首页可扩展到此主词，relationship text analyzer 作为精准同义辅助。KD=0不等于没有竞争。
how to tell if a guy likes you over text,480,0.1,28.4,brand,15.6,15.6,P0,95,/does-he-like-me-text-analyzer,升级现有页,/analyze,0.0,35,common phrase misclassified as brand; compare supplied genericScore; backlink budget is raw model only,升级主词而不是另建重复页；用具体聊天例子先回答，再展示分析器。原 does he like me over text 保留为同页辅助词。
love bombing vs genuine interest,590,0.17,18,generic,,18,P0,80,/love-bombing-vs-genuine-interest,新对比页,/mixed-signals-text-analyzer,23.7,20,,围绕节奏、边界、持续行动和具体聊天例子，不做人格诊断，也不宣称算法能判定操纵意图。
situationship vs relationship,1000,0.03,19.5,generic,,19.5,P0,90,/situationship-vs-relationship,新对比页,/situationship-analyzer,-31.1,20,,对比承诺、排他性、计划、沟通边界，附自查清单；与分析器区分“概念比较”和“分析我的聊天”。
what does this text mean,880,3.87,34.9,brand,24.2,24.2,P0,90,/,首页辅助意图,/analyze,119.2,45,common phrase misclassified as brand; compare supplied genericScore; backlink budget is raw model only,880/月但含缩写、图标等歧义；作为首页的真实问题入口，明确需要关系语境；不另做同功能解释器页。
relationship check in questions,1300,0.14,28.6,generic,,28.6,P0,80,/relationship-check-in-questions,新实用清单,/analyze,-21.4,35,,按投入、期待、联系节奏和计划提供可直接使用的问题；可做可复制清单，再用报告帮助准备谈话。
dry texting,3600,,29.4,generic,,29.4,P0,90,/dry-texting,新内容页,/is-he-losing-interest,0.0,35,,定义、自然聊天例子、忙碌与持续冷淡的区别；演示回复长度和主动比例如何一起变化。不要只堆几十条模板回复。
signs he is losing interest,480,0.03,36,brand,30.4,30.4,P0,95,/is-he-losing-interest,升级现有页,/analyze,-12.5,50,common phrase misclassified as brand; compare supplied genericScore; backlink budget is raw model only,480/月词作为主要内容目标；保留原问题和 URL，解释多周变化及反例，不凭单次慢回复下结论。
texting after first date,590,0.04,42.3,brand,31.3,31.3,P0,85,/texting-after-first-date,新情境指南,/does-he-like-me-text-analyzer,-12.4,60,common phrase misclassified as brand; compare supplied genericScore; backlink budget is raw model only,何时联系、消息例子、对方未回复怎么办；不要使用机械的等几小时规则，也别复制兴趣判断页。
should i text my ex,1600,0.48,35.4,brand,32.9,32.9,P0,90,/should-i-text-my-ex,新决策指南,/ex-text-analyzer,6.7,45,common phrase misclassified as brand; compare supplied genericScore; backlink budget is raw model only,按联系目的、对方边界和过往互动分支给建议；与前任是否想复合页面区分意图，不保证复合。
ghosting after first date,390,0.03,34.4,brand,30.5,30.5,P1,85,/ghosting-after-first-date,后续情境指南,/mixed-signals-text-analyzer,6.2,45,common phrase misclassified as brand; compare supplied genericScore; backlink budget is raw model only,首轮先作为 texting-after-first-date 的H2；只有能提供独立内容、且GSC显示需求时再拆页。
long distance relationship communication,1000,0.62,43,brand,37.7,37.7,P1,75,/long-distance-relationship-communication,后续指南,/reply-time-calculator,-60.3,65,common phrase misclassified as brand; compare supplied genericScore; backlink budget is raw model only,需要补充时区、工作安排等上下文；不能把异地时差直接判成兴趣下降。
breadcrumbing examples,720,0.05,41.4,generic,,41.4,P1,90,/breadcrumbing-test,扩充现有页,/analyze,-39.4,60,,先做真实感的示例、反例和落实计划对照；不要先新建同意图示例页。
bare minimum in a relationship,1000,,41.7,brand,47.6,47.6,P1,80,/bare-minimum-in-a-relationship,后续指南,/situationship-analyzer,-26.1,60,common phrase misclassified as brand; compare supplied genericScore; backlink budget is raw model only,区分基本尊重和双方协商的期待；用行为、计划和沟通实例，不以消费金额或回复频率作统一标准。
one sided relationship,2400,0.31,37.7,brand,49.3,49.3,P1,85,/one-sided-relationship,后续专题,/who-texts-first,-6.5,50,common phrase misclassified as brand; compare supplied genericScore; backlink budget is raw model only,有量但真实常规竞争不低；主打投入失衡的例子与自查，工具只量化聊天发起，不能代表关系全部投入。
talking stage,5400,0.02,52.2,generic,,52.2,P1,80,/talking-stage,后续主题入口,/does-he-like-me-text-analyzer,40.1,95,,5400/月但竞争中等；先用现有喜欢/混合信号页和首约指南积累主题内容，再做总入口。
soft ghosting,260,3.84,47.7,brand,49,49,P2,80,/soft-ghosting,延后,/mixed-signals-text-analyzer,-19.0,80,common phrase misclassified as brand; compare supplied genericScore; backlink budget is raw model only,量260且竞争中等，先在混合信号内容作为术语解释。
double texting,2900,0.03,49.8,brand,54.4,54.4,P2,80,/double-texting,延后,/who-texts-first,6.1,85,common phrase misclassified as brand; compare supplied genericScore; backlink budget is raw model only,一般口径难度高于原输出；可先在聊天礼仪/首约内容解释，不因2900/月就抢着做。
future faking,4400,0.63,55.7,brand,63.9,63.9,P2,75,/future-faking,延后,/breadcrumbing-test,-12.1,110,common phrase misclassified as brand; compare supplied genericScore; backlink budget is raw model only,4400/月但常规难度约64；暂以具体计划兑现和空口承诺的例子支撑breadcrumbing页。
export whatsapp chat,720,,64.1,generic,,64.1,P2,90,/export-whatsapp-chat,帮助内容优先于SEO投入,/whatsapp-relationship-analyzer,-6.9,160,,作为上传帮助很有用，但官方/工具大站强，不能再列为新站优先流量机会。
