keyword,cluster,page,source,business_fit,search_volume_us,cpc_usd,paid_competition,paid_competition_index,seo_kd,metric_status
what he thinks,interest,TBD,round3 editorial seed,85,720,,LOW,0,not queried,available
what is he thinking,interest,TBD,round3 editorial seed,85,1300,,LOW,0,not queried,available
what does he think of me,interest,TBD,round3 editorial seed,85,880,,LOW,0,not queried,available
does he find me attractive,interest,TBD,round3 editorial seed,85,170,0.03,LOW,0,not queried,available
signs of attraction,interest,TBD,round3 editorial seed,85,880,0.06,LOW,5,not queried,available
signs of mutual attraction,interest,TBD,round3 editorial seed,85,390,0.06,LOW,10,not queried,available
does he have feelings for me,interest,TBD,round3 editorial seed,85,480,0.3,LOW,0,not queried,available
signs he wants you,interest,TBD,round3 editorial seed,85,110,0.05,LOW,7,not queried,available
signs he is falling for you,interest,TBD,round3 editorial seed,85,50,0.03,LOW,16,not queried,available
signs he loves you,interest,TBD,round3 editorial seed,85,1300,0.07,LOW,15,not queried,available
signs he likes you but is scared,interest,TBD,round3 editorial seed,85,40,,LOW,3,not queried,available
is he interested or just being nice,interest,TBD,round3 editorial seed,85,70,0.13,LOW,16,not queried,available
is he worth it,interest,TBD,round3 editorial seed,85,320,,LOW,0,not queried,available
how to know if someone likes you,interest,TBD,round3 editorial seed,85,12100,0.49,LOW,8,not queried,available
how to tell if someone is flirting,interest,TBD,round3 editorial seed,85,170,0.06,LOW,7,not queried,available
how to tell if a guy is flirting over text,interest,TBD,round3 editorial seed,85,10,,LOW,1,not queried,available
conversation starters,conversation,TBD,round3 editorial seed,75,60500,0.14,MEDIUM,43,not queried,available
deep conversation starters,conversation,TBD,round3 editorial seed,75,6600,0.08,MEDIUM,47,not queried,available
conversation starters for couples,conversation,TBD,round3 editorial seed,75,6600,0.19,MEDIUM,66,not queried,available
conversation starters with your crush,conversation,TBD,round3 editorial seed,75,1600,0.05,LOW,27,not queried,available
questions to ask your crush,conversation,TBD,round3 editorial seed,75,14800,0.07,MEDIUM,37,not queried,available
questions to ask a guy,conversation,TBD,round3 editorial seed,75,40500,0.06,MEDIUM,39,not queried,available
questions to ask your boyfriend,conversation,TBD,round3 editorial seed,75,74000,0.06,MEDIUM,39,not queried,available
deep questions to ask your boyfriend,conversation,TBD,round3 editorial seed,75,5400,0.05,MEDIUM,36,not queried,available
flirty questions to ask a guy,conversation,TBD,round3 editorial seed,75,2900,0.05,LOW,33,not queried,available
relationship questions,conversation,TBD,round3 editorial seed,75,12100,0.12,MEDIUM,37,not queried,available
questions to ask before dating,conversation,TBD,round3 editorial seed,75,480,0.15,MEDIUM,40,not queried,available
questions to ask in a new relationship,conversation,TBD,round3 editorial seed,75,480,0.11,MEDIUM,63,not queried,available
how to keep a conversation going,conversation,TBD,round3 editorial seed,75,5400,0.66,LOW,9,not queried,available
how to start a conversation over text,conversation,TBD,round3 editorial seed,75,590,0.03,LOW,5,not queried,available
how to text a guy,conversation,TBD,round3 editorial seed,75,390,1.22,LOW,2,not queried,available
what to text your crush,conversation,TBD,round3 editorial seed,75,1000,0.05,LOW,4,not queried,available
what to talk about with your boyfriend,conversation,TBD,round3 editorial seed,75,1600,0.04,LOW,28,not queried,available
how to get to know someone,conversation,TBD,round3 editorial seed,75,1300,0.17,LOW,27,not queried,available
getting to know you questions,conversation,TBD,round3 editorial seed,75,27100,0.1,MEDIUM,56,not queried,available
how to ask a guy out,conversation,TBD,round3 editorial seed,75,1600,0.05,LOW,1,not queried,available
how to respond to hey,responses,TBD,round3 editorial seed,85,390,,LOW,0,not queried,available
how to respond to i miss you,responses,TBD,round3 editorial seed,85,480,,LOW,0,not queried,available
how to respond to a compliment,responses,TBD,round3 editorial seed,85,2400,,LOW,0,not queried,available
how to respond to a flirty text,responses,TBD,round3 editorial seed,85,140,0.04,LOW,1,not queried,available
how to respond to good morning text,responses,TBD,round3 editorial seed,85,390,0.06,LOW,3,not queried,available
how to respond to an apology,responses,TBD,round3 editorial seed,85,590,,LOW,0,not queried,available
how to respond to rejection,responses,TBD,round3 editorial seed,85,70,,LOW,0,not queried,available
how to respond to no response,responses,TBD,round3 editorial seed,85,10,,LOW,0,not queried,available
what to say when someone ignores you,responses,TBD,round3 editorial seed,85,50,,LOW,2,not queried,available
how to tell someone you like them,responses,TBD,round3 editorial seed,85,3600,0.04,LOW,0,not queried,available
how to tell someone you are not interested,responses,TBD,round3 editorial seed,85,20,0.04,LOW,19,not queried,available
how to ask someone what they want,responses,TBD,round3 editorial seed,85,10,,LOW,0,not queried,available
how to ask are we exclusive,responses,TBD,round3 editorial seed,85,,,,,not queried,unavailable (not zero)
how to ask for clarity in a relationship,responses,TBD,round3 editorial seed,85,20,,LOW,1,not queried,available
dating vs relationship,dating,TBD,round3 editorial seed,75,1900,0.87,LOW,6,not queried,available
dating exclusively,dating,TBD,round3 editorial seed,75,1000,0.07,LOW,3,not queried,available
exclusive relationship,dating,TBD,round3 editorial seed,75,2400,0.87,LOW,2,not queried,available
casual dating,dating,TBD,round3 editorial seed,75,4400,5.14,LOW,15,not queried,available
casual relationship,dating,TBD,round3 editorial seed,75,2400,6.07,LOW,1,not queried,available
dating intentions,dating,TBD,round3 editorial seed,75,1600,3.46,LOW,4,not queried,available
relationship stages,dating,TBD,round3 editorial seed,75,9900,0.11,LOW,4,not queried,available
dating stages,dating,TBD,round3 editorial seed,75,1900,0.04,LOW,1,not queried,available
relationship labels,dating,TBD,round3 editorial seed,75,210,,LOW,0,not queried,available
friends with benefits,dating,TBD,round3 editorial seed,75,,,,,not queried,unavailable (not zero)
friends with benefits rules,dating,TBD,round3 editorial seed,75,1600,1.59,LOW,11,not queried,available
friends with benefits signs he likes you,dating,TBD,round3 editorial seed,75,,,,,not queried,unavailable (not zero)
dating red flags,dating,TBD,round3 editorial seed,75,590,0.05,LOW,12,not queried,available
early dating signs he likes you,dating,TBD,round3 editorial seed,75,30,,LOW,8,not queried,available
dating green flags,dating,TBD,round3 editorial seed,75,140,0.02,LOW,3,not queried,available
first date questions,dating,TBD,round3 editorial seed,75,9900,0.06,MEDIUM,47,not queried,available
second date questions,dating,TBD,round3 editorial seed,75,1300,0.16,MEDIUM,35,not queried,available
third date,dating,TBD,round3 editorial seed,75,880,1.52,LOW,3,not queried,available
dating communication,dating,TBD,round3 editorial seed,75,40,10.2,LOW,16,not queried,available
how often to see someone you are dating,dating,TBD,round3 editorial seed,75,,,,,not queried,unavailable (not zero)
when to define the relationship,dating,TBD,round3 editorial seed,75,210,0.08,LOW,3,not queried,available
how to know if a date went well,dating,TBD,round3 editorial seed,75,260,0.05,LOW,6,not queried,available
