keyword,cluster,page,source,business_fit,search_volume_us,cpc_usd,paid_competition,paid_competition_index,seo_kd,metric_status
talking stage,talking-stage,TBD,editorial competitor-adjacent seed,80,5400,0.02,LOW,0,not queried,available
talking stage meaning,talking-stage,TBD,editorial competitor-adjacent seed,80,2400,,LOW,0,not queried,available
talking stage rules,talking-stage,TBD,editorial competitor-adjacent seed,80,40,,LOW,0,not queried,available
how long should the talking stage last,talking-stage,TBD,editorial competitor-adjacent seed,80,590,0.01,LOW,1,not queried,available
talking stage vs dating,talking-stage,TBD,editorial competitor-adjacent seed,80,390,,LOW,1,not queried,available
talking stage red flags,talking-stage,TBD,editorial competitor-adjacent seed,80,70,0.06,LOW,4,not queried,available
talking stage questions,talking-stage,TBD,editorial competitor-adjacent seed,80,880,0.09,LOW,33,not queried,available
how often should you text in the talking stage,talking-stage,TBD,editorial competitor-adjacent seed,80,40,,LOW,1,not queried,available
failed talking stage,talking-stage,TBD,editorial competitor-adjacent seed,80,170,,LOW,0,not queried,available
how to end a talking stage,talking-stage,TBD,editorial competitor-adjacent seed,80,320,,LOW,0,not queried,available
how to know if talking stage is going well,talking-stage,TBD,editorial competitor-adjacent seed,80,,,,,not queried,unavailable (not zero)
exclusive talking stage,talking-stage,TBD,editorial competitor-adjacent seed,80,40,,LOW,0,not queried,available
ghosting,ghosting,TBD,editorial competitor-adjacent seed,80,49500,2.07,LOW,3,not queried,available
ghosting meaning,ghosting,TBD,editorial competitor-adjacent seed,80,18100,0.55,LOW,5,not queried,available
why do guys ghost,ghosting,TBD,editorial competitor-adjacent seed,80,390,0.2,LOW,25,not queried,available
why did he ghost me,ghosting,TBD,editorial competitor-adjacent seed,80,260,0.15,LOW,14,not queried,available
am i being ghosted,ghosting,TBD,editorial competitor-adjacent seed,80,210,0.53,LOW,6,not queried,available
being ghosted,ghosting,TBD,editorial competitor-adjacent seed,80,480,0.08,LOW,11,not queried,available
what to do when you get ghosted,ghosting,TBD,editorial competitor-adjacent seed,80,50,0.03,LOW,29,not queried,available
how to respond to ghosting,ghosting,TBD,editorial competitor-adjacent seed,80,320,1.2,LOW,12,not queried,available
ghosting after first date,ghosting,TBD,editorial competitor-adjacent seed,80,390,0.03,LOW,2,not queried,available
ghosting after a good date,ghosting,TBD,editorial competitor-adjacent seed,80,,,,,not queried,unavailable (not zero)
ghosting after months of dating,ghosting,TBD,editorial competitor-adjacent seed,80,20,,LOW,5,not queried,available
soft ghosting,ghosting,TBD,editorial competitor-adjacent seed,80,260,3.84,LOW,1,not queried,available
slow fading,ghosting,TBD,editorial competitor-adjacent seed,80,1000,2.06,LOW,1,not queried,available
ghosting vs slow fading,ghosting,TBD,editorial competitor-adjacent seed,80,,,,,not queried,unavailable (not zero)
ghosting vs needing space,ghosting,TBD,editorial competitor-adjacent seed,80,,,,,not queried,unavailable (not zero)
he came back after ghosting,ghosting,TBD,editorial competitor-adjacent seed,80,10,,,,not queried,available
why do ghosters come back,ghosting,TBD,editorial competitor-adjacent seed,80,30,,LOW,0,not queried,available
what to text someone who ghosted you,ghosting,TBD,editorial competitor-adjacent seed,80,90,0.09,LOW,7,not queried,available
texting habits,texting,TBD,editorial competitor-adjacent seed,80,30,,LOW,0,not queried,available
texting in a relationship,texting,TBD,editorial competitor-adjacent seed,80,110,,LOW,1,not queried,available
texting etiquette dating,texting,TBD,editorial competitor-adjacent seed,80,70,3.87,LOW,9,not queried,available
how often should couples text,texting,TBD,editorial competitor-adjacent seed,80,70,,LOW,1,not queried,available
how often should a guy text you,texting,TBD,editorial competitor-adjacent seed,80,20,,LOW,6,not queried,available
how to stop overthinking texts,texting,TBD,editorial competitor-adjacent seed,80,20,,LOW,3,not queried,available
texting anxiety,texting,TBD,editorial competitor-adjacent seed,80,590,,LOW,1,not queried,available
texting chemistry,texting,TBD,editorial competitor-adjacent seed,80,40,2.63,LOW,1,not queried,available
bad texter or not interested,texting,TBD,editorial competitor-adjacent seed,80,40,,LOW,0,not queried,available
dry texter,texting,TBD,editorial competitor-adjacent seed,80,3600,,LOW,0,not queried,available
how to respond to dry texts,texting,TBD,editorial competitor-adjacent seed,80,110,,LOW,1,not queried,available
how to not be a dry texter,texting,TBD,editorial competitor-adjacent seed,80,590,0.03,LOW,2,not queried,available
dry texting vs not interested,texting,TBD,editorial competitor-adjacent seed,80,,,,,not queried,unavailable (not zero)
double texting rules,texting,TBD,editorial competitor-adjacent seed,80,10,,LOW,5,not queried,available
is double texting bad,texting,TBD,editorial competitor-adjacent seed,80,390,0.04,LOW,1,not queried,available
should i double text,texting,TBD,editorial competitor-adjacent seed,80,390,0.03,LOW,1,not queried,available
how long to wait before double texting,texting,TBD,editorial competitor-adjacent seed,80,50,,LOW,1,not queried,available
texting after first date,texting,TBD,editorial competitor-adjacent seed,80,590,0.04,LOW,5,not queried,available
texting after second date,texting,TBD,editorial competitor-adjacent seed,80,50,,LOW,1,not queried,available
