keyword,cluster,page,source,business_fit,search_volume_us,cpc_usd,paid_competition,paid_competition_index,seo_kd,metric_status
relationship text analyzer,home,/,editorial seed,95,30,,LOW,7,not queried,available
relationship chat analyzer,home,/,editorial seed,95,10,1.97,LOW,31,not queried,available
dating text analyzer,home,/,editorial seed,95,,,,,not queried,unavailable (not zero)
ai relationship analyzer,home,/,editorial seed,95,10,7,LOW,14,not queried,available
analyze text messages,home,/,editorial seed,95,320,1.87,LOW,2,not queried,available
text message analyzer,home,/,editorial seed,95,110,7.95,LOW,8,not queried,available
conversation analyzer,home,/,editorial seed,30,50,8.45,MEDIUM,48,not queried,available
relationship analysis,home,/,editorial seed,30,170,22.58,LOW,2,not queried,available
chat analysis ai,home,/,editorial seed,95,10,12.04,MEDIUM,51,not queried,available
analyze his texts,home,/,editorial seed,95,,,,,not queried,unavailable (not zero)
what does his text mean,home,/,editorial seed,65,70,,LOW,0,not queried,available
decode his texts,home,/,editorial seed,65,10,,LOW,0,not queried,available
dating chat analysis,home,/,editorial seed,95,,,,,not queried,unavailable (not zero)
does he like me,interest,/does-he-like-me-text-analyzer,editorial seed,65,6600,0.82,LOW,1,not queried,available
does he like me over text,interest,/does-he-like-me-text-analyzer,editorial seed,65,30,0.03,LOW,5,not queried,available
signs he likes you over text,interest,/does-he-like-me-text-analyzer,editorial seed,65,50,,LOW,7,not queried,available
is he flirting or being friendly,interest,/does-he-like-me-text-analyzer,editorial seed,65,70,0.05,LOW,10,not queried,available
does he like me quiz,interest,/does-he-like-me-text-analyzer,editorial seed,45,6600,1.88,LOW,1,not queried,available
does he like me test,interest,/does-he-like-me-text-analyzer,editorial seed,45,6600,1.88,LOW,1,not queried,available
how to tell if a guy likes you over text,interest,/does-he-like-me-text-analyzer,editorial seed,65,480,0.1,LOW,11,not queried,available
is he interested in me,interest,/does-he-like-me-text-analyzer,editorial seed,65,320,0.06,LOW,2,not queried,available
does he like me or just want attention,interest,/does-he-like-me-text-analyzer,editorial seed,65,,,,,not queried,unavailable (not zero)
does he like me or is he bored,interest,/does-he-like-me-text-analyzer,editorial seed,65,10,,LOW,2,not queried,available
signs a guy is interested through text,interest,/does-he-like-me-text-analyzer,editorial seed,65,10,,LOW,0,not queried,available
how guys text when they like you,interest,/does-he-like-me-text-analyzer,editorial seed,65,10,,LOW,0,not queried,available
does my crush like me,interest,/does-he-like-me-text-analyzer,editorial seed,65,1900,3.21,LOW,0,not queried,available
is he into me,interest,/does-he-like-me-text-analyzer,editorial seed,65,320,0.04,LOW,1,not queried,available
is he just being nice,interest,/does-he-like-me-text-analyzer,editorial seed,65,50,,LOW,1,not queried,available
is he losing interest,losing,/is-he-losing-interest,editorial seed,65,140,0.04,LOW,2,not queried,available
signs he is losing interest,losing,/is-he-losing-interest,editorial seed,65,480,0.03,LOW,10,not queried,available
is he losing interest or just busy,losing,/is-he-losing-interest,editorial seed,65,20,,LOW,8,not queried,available
why is he texting less,losing,/is-he-losing-interest,editorial seed,65,10,,LOW,0,not queried,available
why are his replies getting shorter,losing,/is-he-losing-interest,editorial seed,65,,,,,not queried,unavailable (not zero)
why did he stop initiating texts,losing,/is-he-losing-interest,editorial seed,65,,,,,not queried,unavailable (not zero)
signs he is pulling away,losing,/is-he-losing-interest,editorial seed,65,140,0.05,LOW,6,not queried,available
he used to text me everyday,losing,/is-he-losing-interest,editorial seed,65,10,,LOW,0,not queried,available
he stopped texting me,losing,/is-he-losing-interest,editorial seed,65,70,,LOW,1,not queried,available
why is he being distant,losing,/is-he-losing-interest,editorial seed,65,40,0.07,LOW,5,not queried,available
he takes longer to reply,losing,/is-he-losing-interest,editorial seed,65,,,,,not queried,unavailable (not zero)
is he bored of me,losing,/is-he-losing-interest,editorial seed,65,20,,LOW,0,not queried,available
is he slow fading,losing,/is-he-losing-interest,editorial seed,65,,,,,not queried,unavailable (not zero)
slow fade texting,losing,/is-he-losing-interest,editorial seed,65,10,,LOW,0,not queried,available
dry texting,losing,/is-he-losing-interest,editorial seed,65,3600,,LOW,0,not queried,available
