keyword,cluster,page,source,business_fit,search_volume_us,cpc_usd,paid_competition,paid_competition_index,seo_kd,metric_status,screening_status
questions to ask your boyfriend,conversation,TBD,round3 editorial seed,75,74000,0.06,MEDIUM,39,not queried,available,已进行哥飞SERP精评，见shortlist.csv
conversation starters,conversation,TBD,round3 editorial seed,75,60500,0.14,MEDIUM,43,not queried,available,有量候选，KD未查
unrequited love,patterns,TBD,round3 editorial seed,75,60500,0.31,LOW,1,not queried,available,有量候选，KD未查
unreciprocated love,patterns,TBD,round3 editorial seed,75,60500,0.31,LOW,1,not queried,available,有量候选，KD未查
questions to ask a guy,conversation,TBD,round3 editorial seed,75,40500,0.06,MEDIUM,39,not queried,available,有量候选，KD未查
getting to know you questions,conversation,TBD,round3 editorial seed,75,27100,0.1,MEDIUM,56,not queried,available,有量候选，KD未查
emotional unavailability,patterns,TBD,round3 editorial seed,75,18100,0.18,LOW,6,not queried,available,有量候选，KD未查
questions to ask your crush,conversation,TBD,round3 editorial seed,75,14800,0.07,MEDIUM,37,not queried,available,已进行哥飞SERP精评，见shortlist.csv
how to know if someone likes you,interest,TBD,round3 editorial seed,85,12100,0.49,LOW,8,not queried,available,已进行哥飞SERP精评，见shortlist.csv
relationship questions,conversation,TBD,round3 editorial seed,75,12100,0.12,MEDIUM,37,not queried,available,有量候选，KD未查
relationship stages,dating,TBD,round3 editorial seed,75,9900,0.11,LOW,4,not queried,available,有量候选，KD未查
first date questions,dating,TBD,round3 editorial seed,75,9900,0.06,MEDIUM,47,not queried,available,有量候选，KD未查
unrequited love meaning,patterns,TBD,Google autocomplete: unrequited love,75,9900,0.05,LOW,1,not queried,available,有量候选，KD未查
deep conversation starters,conversation,TBD,round3 editorial seed,75,6600,0.08,MEDIUM,47,not queried,available,有量候选，KD未查
conversation starters for couples,conversation,TBD,round3 editorial seed,75,6600,0.19,MEDIUM,66,not queried,available,已进行哥飞SERP精评，见shortlist.csv
deep questions to ask your boyfriend,conversation,TBD,round3 editorial seed,75,5400,0.05,MEDIUM,36,not queried,available,有量候选，KD未查
how to keep a conversation going,conversation,TBD,round3 editorial seed,75,5400,0.66,LOW,9,not queried,available,已进行哥飞SERP精评，见shortlist.csv
relationship deal breakers,patterns,TBD,round3 editorial seed,75,5400,0.05,LOW,24,not queried,available,有量候选，KD未查
casual dating,dating,TBD,round3 editorial seed,75,4400,5.14,LOW,15,not queried,available,有量候选，KD未查
how to stop thinking about someone,breakup,TBD,round3 editorial seed,75,4400,1.41,LOW,8,not queried,available,有量候选，KD未查
good morning text,textmeaning,TBD,round3 editorial seed,85,4400,0.07,LOW,27,not queried,available,有量候选，KD未查
how to tell someone you like them,responses,TBD,round3 editorial seed,85,3600,0.04,LOW,0,not queried,available,有量候选，KD未查
left on read,distance,TBD,round3 editorial seed,85,3600,0.69,LOW,2,not queried,available,已进行哥飞SERP精评，见shortlist.csv
how to get over a crush,breakup,TBD,round3 editorial seed,75,3600,0.15,LOW,12,not queried,available,有量候选，KD未查
texting styles,textmeaning,TBD,round3 editorial seed,85,3600,1.53,LOW,0,not queried,available,已进行哥飞SERP精评，见shortlist.csv
flirty questions to ask a guy,conversation,TBD,round3 editorial seed,75,2900,0.05,LOW,33,not queried,available,已进行哥飞SERP精评，见shortlist.csv
how to detach from someone,breakup,TBD,round3 editorial seed,75,2900,1.38,LOW,19,not queried,available,有量候选，KD未查
casual dating apps,dating,TBD,Google autocomplete: casual dating a,75,2900,4.91,MEDIUM,39,not queried,available,有量候选，KD未查
casual dating meaning,dating,TBD,Google autocomplete: casual dating,75,2900,5.68,LOW,2,not queried,available,有量候选，KD未查
jokes about flirting,textmeaning,TBD,Google autocomplete: banter flirting a,85,2900,0.04,LOW,15,not queried,available,有量候选，KD未查
how to respond to a compliment,responses,TBD,round3 editorial seed,85,2400,,LOW,0,not queried,available,有量候选，KD未查
exclusive relationship,dating,TBD,round3 editorial seed,75,2400,0.87,LOW,2,not queried,available,有量候选，KD未查
casual relationship,dating,TBD,round3 editorial seed,75,2400,6.07,LOW,1,not queried,available,有量候选，KD未查
should i break up with my boyfriend,breakup,TBD,round3 editorial seed,75,2400,0.86,LOW,18,not queried,available,有量候选，KD未查
how to let go of someone,breakup,TBD,round3 editorial seed,75,2400,0.74,MEDIUM,35,not queried,available,有量候选，KD未查
romantic attraction,textmeaning,TBD,round3 editorial seed,85,2400,0.03,LOW,0,not queried,available,有量候选，KD未查
casual relationship meaning,dating,TBD,Google autocomplete: casual relationship,75,2400,2.26,LOW,1,not queried,available,有量候选，KD未查
conversation starters for dating,conversation,TBD,Google autocomplete: conversation starters,75,2400,0.09,MEDIUM,50,not queried,available,有量候选，KD未查
conversation starters for a date,conversation,TBD,Google autocomplete: conversation starters for couples a,75,2400,0.09,MEDIUM,50,not queried,available,有量候选，KD未查
dating vs relationship,dating,TBD,round3 editorial seed,75,1900,0.87,LOW,6,not queried,available,有量候选，KD未查
dating stages,dating,TBD,round3 editorial seed,75,1900,0.04,LOW,1,not queried,available,有量候选，KD未查
healthy relationship signs,patterns,TBD,round3 editorial seed,75,1900,0.8,LOW,16,not queried,available,有量候选，KD未查
reassurance in a relationship,patterns,TBD,round3 editorial seed,75,1900,0.03,LOW,0,not queried,available,已进行哥飞SERP精评，见shortlist.csv
flirting examples,textmeaning,TBD,round3 editorial seed,85,1900,0.05,LOW,3,not queried,available,已进行哥飞SERP精评，见shortlist.csv
conversation starters for friends,conversation,TBD,Google autocomplete: conversation starters,75,1900,0.07,MEDIUM,55,not queried,available,有量候选，KD未查
conversation starters with friends,conversation,TBD,Google autocomplete: conversation starters w,75,1900,0.07,MEDIUM,55,not queried,available,有量候选，KD未查
